Prompt,Intent,
Hi there Can you tell me who you are,introduce_yourself,
Hello Who am I talking to,introduce_yourself,
Good day What's your name,introduce_yourself,
Can you introduce yourself,introduce_yourself,
Who are you,introduce_yourself,
Can you tell me about yourself,introduce_yourself,
Please introduce yourself,introduce_yourself,
What's your name,introduce_yourself,
Who am I chatting with,introduce_yourself,
Tell me about you,introduce_yourself,
I need some information from the web,web_search,
Can you search the web for me,web_search,
Find this information online,web_search,
Can you look this up on the internet,web_search,
Search the web for this please,web_search,
Can you get me the latest news,web_search,
I need to find some information online,web_search,
Search for this online,web_search,
Can you find this on the web,web_search,
Look up this info on the internet,web_search,
Search Wikipedia for this,wiki_search,
Can you look this up on Wikipedia,wiki_search,
I need some information from Wikipedia,wiki_search,
Find this on Wikipedia please,wiki_search,
Can you get me details from Wikipedia,wiki_search,
Search for this on Wikipedia,wiki_search,
Look up this on Wikipedia,wiki_search,
Can you find this on Wikipedia,wiki_search,
Get me this information from Wikipedia,wiki_search,
Can you help me with Wikipedia search,wiki_search,
Goodbye,exit,
See you later,exit,
Talk to you later,exit,
Bye for now,exit,
Take care, bye,exit
Catch you later,exit,
Goodbye, see you soon,exit
Farewell,exit,
Talk to you soon,exit,
Bye, have a good day,exit
Hey What's your name,introduce_yourself,
Hello, who are you,introduce_yourself
Can you introduce yourself to me,introduce_yourself,
What's your name again,introduce_yourself,
Who is this,introduce_yourself,
May I know who I'm talking to,introduce_yourself,
Tell me who you are,introduce_yourself,
I'd like to know your name,introduce_yourself,
Can you tell me your name,introduce_yourself,
Can you give me your name,introduce_yourself,
Can you find this on the web,web_search,
I need some info from the internet,web_search,
Look this up online,web_search,
Search for this info online,web_search,
Get this information from the web,web_search,
Find this on the internet,web_search,
I need to search the web for something,web_search,
Can you get this info from the internet,web_search,
Look up this information online,web_search,
Search the internet for this,web_search,
Find this info on Wikipedia,wiki_search,
Look this up on Wikipedia,wiki_search,
I need to get some details from Wikipedia,wiki_search,
Search for this on Wikipedia, please,wiki_search
Can you get details from Wikipedia,wiki_search,
I need to search Wikipedia for something,wiki_search,
Can you look up this on Wikipedia,wiki_search,
Find details about this on Wikipedia,wiki_search,
Get info from Wikipedia on this,wiki_search,
Can you find details on Wikipedia,wiki_search,
See you,exit,
Later,exit,
Goodbye for now,exit,
See you later, bye,exit
Talk to you later, bye,exit
Take care, see you soon,exit
Goodbye and take care,exit,
Catch you later, bye,exit
Bye for now, take care,exit
See you soon,exit,
Your name,introduce_yourself,
